year,nome,month,Number of Fires,date
2006,MINAS GERAIS,November,59,2006-01-01
2007,MINAS GERAIS,November,1.305,2007-01-01
2008,MINAS GERAIS,November,892,2008-01-01
2009,MINAS GERAIS,November,246,2009-01-01
2010,MINAS GERAIS,November,82,2010-01-01
2011,MINAS GERAIS,November,153,2011-01-01
2012,MINAS GERAIS,November,220,2012-01-01
2013,MINAS GERAIS,November,277,2013-01-01
2014,MINAS GERAIS,November,398,2014-01-01
2015,MINAS GERAIS,November,1.453,2015-01-01
2016,MINAS GERAIS,November,126,2016-01-01
2017,MINAS GERAIS,November,136,2017-01-01
1998,MINAS GERAIS,December,21,1998-01-01
1999,MINAS GERAIS,December,32,1999-01-01
2000,MINAS GERAIS,December,14,2000-01-01
2001,MINAS GERAIS,December,44,2001-01-01
2002,MINAS GERAIS,December,225,2002-01-01
2003,MINAS GERAIS,December,225,2003-01-01
2004,MINAS GERAIS,December,125,2004-01-01
2005,MINAS GERAIS,December,65,2005-01-01
2006,MINAS GERAIS,December,32,2006-01-01
2007,MINAS GERAIS,December,95,2007-01-01
2008,MINAS GERAIS,December,25,2008-01-01
2009,MINAS GERAIS,December,108,2009-01-01
2010,MINAS GERAIS,December,105,2010-01-01
2011,MINAS GERAIS,December,43,2011-01-01
2012,MINAS GERAIS,December,189,2012-01-01
2013,MINAS GERAIS,December,98,2013-01-01
2014,MINAS GERAIS,December,155,2014-01-01
2015,MINAS GERAIS,December,295,2015-01-01
2016,MINAS GERAIS,December,91,2016-01-01
1998,PARA,January,0,1998-01-01
1999,PARA,January,87,1999-01-01
2000,PARA,January,30,2000-01-01
2001,PARA,January,34,2001-01-01
2002,PARA,January,144,2002-01-01
2003,PARA,January,900,2003-01-01
2004,PARA,January,579,2004-01-01
2005,PARA,January,1.768,2005-01-01
2006,PARA,January,403,2006-01-01
2007,PARA,January,467,2007-01-01
2008,PARA,January,131,2008-01-01
2009,PARA,January,241,2009-01-01
2010,PARA,January,437,2010-01-01
2011,PARA,January,108,2011-01-01
2012,PARA,January,392,2012-01-01
2013,PARA,January,167,2013-01-01
2014,PARA,January,251,2014-01-01
2015,PARA,January,725,2015-01-01
2016,PARA,January,1.322,2016-01-01
2017,PARA,January,219,2017-01-01
1998,PARA,February,0,1998-01-01
1999,PARA,February,285,1999-01-01
2000,PARA,February,29,2000-01-01
2001,PARA,February,16,2001-01-01
2002,PARA,February,120,2002-01-01
2003,PARA,February,34,2003-01-01
2004,PARA,February,20,2004-01-01
2005,PARA,February,85,2005-01-01
2006,PARA,February,49,2006-01-01
2007,PARA,February,23,2007-01-01
2008,PARA,February,54,2008-01-01
2009,PARA,February,15,2009-01-01
2010,PARA,February,102,2010-01-01
2011,PARA,February,13,2011-01-01
2012,PARA,February,63,2012-01-01
2013,PARA,February,30,2013-01-01
2014,PARA,February,37,2014-01-01
2015,PARA,February,108,2015-01-01
2016,PARA,February,430,2016-01-01
2017,PARA,February,14,2017-01-01
1998,PARA,March,0,1998-01-01
1999,PARA,March,7,1999-01-01
2000,PARA,March,181,2000-01-01
2001,PARA,March,0,2001-01-01
2002,PARA,March,14,2002-01-01
2003,PARA,March,27,2003-01-01
2004,PARA,March,22,2004-01-01
2005,PARA,March,21,2005-01-01
2006,PARA,March,10,2006-01-01
2007,PARA,March,6,2007-01-01
2008,PARA,March,4,2008-01-01
2009,PARA,March,4,2009-01-01
2010,PARA,March,110,2010-01-01
2011,PARA,March,21,2011-01-01
2012,PARA,March,30,2012-01-01
2013,PARA,March,19,2013-01-01
2014,PARA,March,34,2014-01-01
2015,PARA,March,61,2015-01-01
2016,PARA,March,81,2016-01-01
2017,PARA,March,42,2017-01-01
1998,PARA,April,0,1998-01-01
1999,PARA,April,6,1999-01-01
2000,PARA,April,40,2000-01-01
2001,PARA,April,0,2001-01-01
2002,PARA,April,11,2002-01-01
2003,PARA,April,14,2003-01-01
2004,PARA,April,23,2004-01-01
2005,PARA,April,14,2005-01-01
2006,PARA,April,2,2006-01-01
2007,PARA,April,0,2007-01-01
2008,PARA,April,7,2008-01-01
2009,PARA,April,8,2009-01-01
2010,PARA,April,22,2010-01-01
2011,PARA,April,10,2011-01-01
2012,PARA,April,11,2012-01-01
2013,PARA,April,20,2013-01-01
2014,PARA,April,27,2014-01-01
2015,PARA,April,27,2015-01-01
2016,PARA,April,66,2016-01-01
2017,PARA,April,45,2017-01-01
1998,PARA,May,0,1998-01-01
1999,PARA,May,4,1999-01-01
2000,PARA,May,12,2000-01-01
2001,PARA,May,7,2001-01-01
2002,PARA,May,18,2002-01-01
2003,PARA,May,3,2003-01-01
2004,PARA,May,44,2004-01-01
2005,PARA,May,37,2005-01-01
2006,PARA,May,0,2006-01-01
2007,PARA,May,9,2007-01-01
2008,PARA,May,0,2008-01-01
2009,PARA,May,7,2009-01-01
2010,PARA,May,57,2010-01-01
2011,PARA,May,16,2011-01-01
2012,PARA,May,59,2012-01-01
2013,PARA,May,42,2013-01-01
2014,PARA,May,70,2014-01-01
2015,PARA,May,95,2015-01-01
2016,PARA,May,154,2016-01-01
2017,PARA,May,114,2017-01-01
1998,PARA,June,58,1998-01-01
1999,PARA,June,37,1999-01-01
2000,PARA,June,59,2000-01-01
2001,PARA,June,42,2001-01-01
2002,PARA,June,149,2002-01-01
2003,PARA,June,64,2003-01-01
2004,PARA,June,340,2004-01-01
2005,PARA,June,304,2005-01-01
2006,PARA,June,78,2006-01-01
2007,PARA,June,129,2007-01-01
2008,PARA,June,48,2008-01-01
2009,PARA,June,38,2009-01-01
2010,PARA,June,94,2010-01-01
2011,PARA,June,105,2011-01-01
2012,PARA,June,183,2012-01-01
2013,PARA,June,173,2013-01-01
2014,PARA,June,319,2014-01-01
2015,PARA,June,265,2015-01-01
2016,PARA,June,502,2016-01-01
2017,PARA,June,679,2017-01-01
1998,PARA,July,638,1998-01-01
1999,PARA,July,982,1999-01-01
2000,PARA,July,426,2000-01-01
2001,PARA,July,708,2001-01-01
2002,PARA,July,772,2002-01-01
2003,PARA,July,1.571,2003-01-01
2004,PARA,July,4.436,2004-01-01
2005,PARA,July,4.364,2005-01-01
2006,PARA,July,615,2006-01-01
2007,PARA,July,476,2007-01-01
2008,PARA,July,971,2008-01-01
2009,PARA,July,397,2009-01-01
2010,PARA,July,1.432,2010-01-01
2011,PARA,July,632,2011-01-01
2012,PARA,July,661,2012-01-01
2013,PARA,July,447,2013-01-01
2014,PARA,July,825,2014-01-01
2015,PARA,July,906,2015-01-01
2016,PARA,July,1.579,2016-01-01
2017,PARA,July,4.985,2017-01-01
1998,PARA,August,6.815,1998-01-01
1999,PARA,August,6.178,1999-01-01
2000,PARA,August,5.484,2000-01-01
2001,PARA,August,9.043,2001-01-01
2002,PARA,August,15.664,2002-01-01
2003,PARA,August,6.255,2003-01-01
2004,PARA,August,12.812,2004-01-01
2005,PARA,August,13.055,2005-01-01
2006,PARA,August,7.575,2006-01-01
2007,PARA,August,14.352,2007-01-01
2008,PARA,August,4.435,2008-01-01
2009,PARA,August,3.859,2009-01-01
2010,PARA,August,18.13,2010-01-01
2011,PARA,August,2.195,2011-01-01
2012,PARA,August,6.964,2012-01-01
2013,PARA,August,2.161,2013-01-01
2014,PARA,August,8.555,2014-01-01
2015,PARA,August,7.913,2015-01-01
2016,PARA,August,4.863,2016-01-01
2017,PARA,August,11.962,2017-01-01
1998,PARA,September,6.237,1998-01-01
1999,PARA,September,4.419,1999-01-01
2000,PARA,September,2.569,2000-01-01
2001,PARA,September,6.139,2001-01-01
2002,PARA,September,5.609,2002-01-01
2003,PARA,September,8.447,2003-01-01
2004,PARA,September,9.471,2004-01-01
2005,PARA,September,9.032,2005-01-01
2006,PARA,September,8.372,2006-01-01
2007,PARA,September,14.59,2007-01-01
2008,PARA,September,6.294,2008-01-01
2009,PARA,September,6.051,2009-01-01
2010,PARA,September,10.81,2010-01-01
2011,PARA,September,5.185,2011-01-01
2012,PARA,September,6.87,2012-01-01
2013,PARA,September,3.36,2013-01-01
2014,PARA,September,6.787,2014-01-01
2015,PARA,September,11.068,2015-01-01
2016,PARA,September,3.953,2016-01-01
2017,PARA,September,25.004,2017-01-01
1998,PARA,October,3.665,1998-01-01
1999,PARA,October,5.026,1999-01-01
2000,PARA,October,4.313,2000-01-01
2001,PARA,October,5.096,2001-01-01
2002,PARA,October,5.189,2002-01-01
2003,PARA,October,3.803,2003-01-01
2004,PARA,October,4.726,2004-01-01
2005,PARA,October,5.083,2005-01-01
2006,PARA,October,5.964,2006-01-01
2007,PARA,October,2.504,2007-01-01
2008,PARA,October,6.653,2008-01-01
2009,PARA,October,6.342,2009-01-01
2010,PARA,October,3.843,2010-01-01
2011,PARA,October,3.141,2011-01-01
2012,PARA,October,3.714,2012-01-01
2013,PARA,October,4.921,2013-01-01
2014,PARA,October,6.448,2014-01-01
2015,PARA,October,7.781,2015-01-01
2016,PARA,October,5.281,2016-01-01
2017,PARA,October,7.628,2017-01-01
1998,PARA,November,1.861,1998-01-01
1999,PARA,November,2.682,1999-01-01
2000,PARA,November,3.366,2000-01-01
2001,PARA,November,4.938,2001-01-01
2002,PARA,November,7.996,2002-01-01
2003,PARA,November,6.195,2003-01-01
2004,PARA,November,9.842,2004-01-01
2005,PARA,November,4.968,2005-01-01
2006,PARA,November,2.883,2006-01-01
2007,PARA,November,2.89,2007-01-01
2008,PARA,November,2.403,2008-01-01
2009,PARA,November,10.012,2009-01-01
2010,PARA,November,4.417,2010-01-01
2011,PARA,November,3.043,2011-01-01
2012,PARA,November,6.156,2012-01-01
2013,PARA,November,3.688,2013-01-01
2014,PARA,November,7.767,2014-01-01
2015,PARA,November,9.643,2015-01-01
2016,PARA,November,7.879,2016-01-01
2017,PARA,November,9.079,2017-01-01
1998,PARA,December,1.008,1998-01-01
1999,PARA,December,766,1999-01-01
2000,PARA,December,1.698,2000-01-01
2001,PARA,December,2.564,2001-01-01
2002,PARA,December,3.118,2002-01-01
2003,PARA,December,4.787,2003-01-01
2004,PARA,December,5.508,2004-01-01
2005,PARA,December,1.495,2005-01-01
2006,PARA,December,1.417,2006-01-01
2007,PARA,December,689,2007-01-01
2008,PARA,December,684,2008-01-01
2009,PARA,December,2.832,2009-01-01
2010,PARA,December,1.612,2010-01-01
2011,PARA,December,3.218,2011-01-01
2012,PARA,December,1.812,2012-01-01
2013,PARA,December,5.514,2013-01-01
2014,PARA,December,4.828,2014-01-01
2015,PARA,December,6.61,2015-01-01
2016,PARA,December,3.3,2016-01-01
1998,PARAIBA,January,0,1998-01-01
1999,PARAIBA,January,26,1999-01-01
2000,PARAIBA,January,0,2000-01-01
2001,PARAIBA,January,11,2001-01-01
2002,PARAIBA,January,5,2002-01-01
2003,PARAIBA,January,70,2003-01-01
2004,PARAIBA,January,33,2004-01-01
2005,PARAIBA,January,178,2005-01-01
2006,PARAIBA,January,83,2006-01-01
2007,PARAIBA,January,69,2007-01-01
2008,PARAIBA,January,77,2008-01-01
2009,PARAIBA,January,115,2009-01-01
2010,PARAIBA,January,46,2010-01-01
2011,PARAIBA,January,11,2011-01-01
2012,PARAIBA,January,61,2012-01-01
2013,PARAIBA,January,38,2013-01-01
2014,PARAIBA,January,75,2014-01-01
2015,PARAIBA,January,42,2015-01-01
2016,PARAIBA,January,18,2016-01-01
2017,PARAIBA,January,23,2017-01-01
1998,PARAIBA,February,0,1998-01-01
1999,PARAIBA,February,2,1999-01-01
2000,PARAIBA,February,11,2000-01-01
2001,PARAIBA,February,6,2001-01-01
2002,PARAIBA,February,18,2002-01-01
2003,PARAIBA,February,3,2003-01-01
2004,PARAIBA,February,3,2004-01-01
2005,PARAIBA,February,15,2005-01-01
2006,PARAIBA,February,7,2006-01-01
2007,PARAIBA,February,7,2007-01-01
2008,PARAIBA,February,20,2008-01-01
2009,PARAIBA,February,9,2009-01-01
2010,PARAIBA,February,15,2010-01-01
2011,PARAIBA,February,5,2011-01-01
2012,PARAIBA,February,15,2012-01-01
2013,PARAIBA,February,9,2013-01-01
2014,PARAIBA,February,6,2014-01-01
2015,PARAIBA,February,15,2015-01-01
2016,PARAIBA,February,4,2016-01-01
2017,PARAIBA,February,8,2017-01-01
1998,PARAIBA,March,0,1998-01-01
1999,PARAIBA,March,1,1999-01-01
2000,PARAIBA,March,5,2000-01-01
2001,PARAIBA,March,0,2001-01-01
2002,PARAIBA,March,3,2002-01-01
2003,PARAIBA,March,0,2003-01-01
2004,PARAIBA,March,3,2004-01-01
2005,PARAIBA,March,13,2005-01-01
2006,PARAIBA,March,4,2006-01-01
2007,PARAIBA,March,1,2007-01-01
2008,PARAIBA,March,8,2008-01-01
2009,PARAIBA,March,2,2009-01-01
2010,PARAIBA,March,16,2010-01-01
2011,PARAIBA,March,6,2011-01-01
2012,PARAIBA,March,4,2012-01-01
2013,PARAIBA,March,3,2013-01-01
2014,PARAIBA,March,18,2014-01-01
2015,PARAIBA,March,7,2015-01-01
2016,PARAIBA,March,1,2016-01-01
2017,PARAIBA,March,2,2017-01-01
1998,PARAIBA,April,0,1998-01-01
1999,PARAIBA,April,3,1999-01-01
2000,PARAIBA,April,1,2000-01-01
2001,PARAIBA,April,0,2001-01-01
2002,PARAIBA,April,1,2002-01-01
2003,PARAIBA,April,0,2003-01-01
2004,PARAIBA,April,3,2004-01-01
2005,PARAIBA,April,2,2005-01-01
2006,PARAIBA,April,0,2006-01-01
2007,PARAIBA,April,0,2007-01-01
2008,PARAIBA,April,0,2008-01-01
2009,PARAIBA,April,1,2009-01-01
2010,PARAIBA,April,2,2010-01-01
2011,PARAIBA,April,2,2011-01-01
2012,PARAIBA,April,13,2012-01-01
2013,PARAIBA,April,6,2013-01-01
2014,PARAIBA,April,8,2014-01-01
2015,PARAIBA,April,11,2015-01-01
2016,PARAIBA,April,1,2016-01-01
2017,PARAIBA,April,1,2017-01-01
1998,PARAIBA,May,0,1998-01-01
1999,PARAIBA,May,0,1999-01-01
2000,PARAIBA,May,0,2000-01-01
2001,PARAIBA,May,4,2001-01-01
2002,PARAIBA,May,1,2002-01-01
2003,PARAIBA,May,0,2003-01-01
2004,PARAIBA,May,1,2004-01-01
2005,PARAIBA,May,0,2005-01-01
2006,PARAIBA,May,0,2006-01-01
2007,PARAIBA,May,0,2007-01-01
2008,PARAIBA,May,0,2008-01-01
2009,PARAIBA,May,0,2009-01-01
2010,PARAIBA,May,10,2010-01-01
2011,PARAIBA,May,0,2011-01-01
2012,PARAIBA,May,10,2012-01-01
2013,PARAIBA,May,3,2013-01-01
2014,PARAIBA,May,1,2014-01-01
2015,PARAIBA,May,6,2015-01-01
2016,PARAIBA,May,1,2016-01-01
2017,PARAIBA,May,1,2017-01-01
1998,PARAIBA,June,3,1998-01-01
1999,PARAIBA,June,1,1999-01-01
2000,PARAIBA,June,2,2000-01-01
2001,PARAIBA,June,0,2001-01-01
2002,PARAIBA,June,1,2002-01-01
2003,PARAIBA,June,0,2003-01-01
2004,PARAIBA,June,0,2004-01-01
2005,PARAIBA,June,0,2005-01-01
2006,PARAIBA,June,0,2006-01-01
2007,PARAIBA,June,0,2007-01-01
2008,PARAIBA,June,0,2008-01-01
2009,PARAIBA,June,0,2009-01-01
2010,PARAIBA,June,3,2010-01-01
2011,PARAIBA,June,2,2011-01-01
2012,PARAIBA,June,5,2012-01-01
2013,PARAIBA,June,3,2013-01-01
2014,PARAIBA,June,1,2014-01-01
2015,PARAIBA,June,0,2015-01-01
2016,PARAIBA,June,4,2016-01-01
2017,PARAIBA,June,0,2017-01-01
1998,PARAIBA,July,0,1998-01-01
1999,PARAIBA,July,1,1999-01-01
2000,PARAIBA,July,0,2000-01-01
2001,PARAIBA,July,8,2001-01-01
2002,PARAIBA,July,8,2002-01-01
2003,PARAIBA,July,6,2003-01-01
2004,PARAIBA,July,1,2004-01-01
2005,PARAIBA,July,0,2005-01-01
2006,PARAIBA,July,1,2006-01-01
2007,PARAIBA,July,1,2007-01-01
2008,PARAIBA,July,0,2008-01-01
2009,PARAIBA,July,3,2009-01-01
2010,PARAIBA,July,7,2010-01-01
2011,PARAIBA,July,6,2011-01-01
2012,PARAIBA,July,5,2012-01-01
2013,PARAIBA,July,1,2013-01-01
2014,PARAIBA,July,9,2014-01-01
2015,PARAIBA,July,3,2015-01-01
2016,PARAIBA,July,22,2016-01-01
2017,PARAIBA,July,2,2017-01-01
1998,PARAIBA,August,3,1998-01-01
1999,PARAIBA,August,4,1999-01-01
2000,PARAIBA,August,7,2000-01-01
2001,PARAIBA,August,34,2001-01-01
2002,PARAIBA,August,38,2002-01-01
2003,PARAIBA,August,14,2003-01-01
2004,PARAIBA,August,18,2004-01-01
2005,PARAIBA,August,0,2005-01-01
2006,PARAIBA,August,3,2006-01-01
2007,PARAIBA,August,8,2007-01-01
2008,PARAIBA,August,1,2008-01-01
2009,PARAIBA,August,4,2009-01-01
2010,PARAIBA,August,9,2010-01-01
2011,PARAIBA,August,12,2011-01-01
2012,PARAIBA,August,13,2012-01-01
2013,PARAIBA,August,3,2013-01-01
2014,PARAIBA,August,30,2014-01-01
2015,PARAIBA,August,5,2015-01-01
2016,PARAIBA,August,50,2016-01-01
2017,PARAIBA,August,3,2017-01-01
1998,PARAIBA,September,50,1998-01-01
1999,PARAIBA,September,14,1999-01-01
2000,PARAIBA,September,9,2000-01-01
2001,PARAIBA,September,98,2001-01-01
2002,PARAIBA,September,63,2002-01-01
2003,PARAIBA,September,81,2003-01-01
2004,PARAIBA,September,34,2004-01-01
2005,PARAIBA,September,13,2005-01-01
2006,PARAIBA,September,27,2006-01-01
2007,PARAIBA,September,22,2007-01-01
2008,PARAIBA,September,21,2008-01-01
2009,PARAIBA,September,28,2009-01-01
2010,PARAIBA,September,37,2010-01-01
2011,PARAIBA,September,55,2011-01-01
2012,PARAIBA,September,71,2012-01-01
2013,PARAIBA,September,25,2013-01-01
2014,PARAIBA,September,51,2014-01-01
2015,PARAIBA,September,48,2015-01-01
2016,PARAIBA,September,131,2016-01-01
2017,PARAIBA,September,30,2017-01-01
1998,PARAIBA,October,179,1998-01-01
1999,PARAIBA,October,48,1999-01-01
2000,PARAIBA,October,125,2000-01-01
2001,PARAIBA,October,279,2001-01-01
2002,PARAIBA,October,193,2002-01-01
2003,PARAIBA,October,381,2003-01-01
2004,PARAIBA,October,190,2004-01-01
2005,PARAIBA,October,155,2005-01-01
2006,PARAIBA,October,135,2006-01-01
2007,PARAIBA,October,111,2007-01-01
2008,PARAIBA,October,80,2008-01-01
2009,PARAIBA,October,117,2009-01-01
2010,PARAIBA,October,150,2010-01-01
2011,PARAIBA,October,200,2011-01-01
2012,PARAIBA,October,136,2012-01-01
2013,PARAIBA,October,58,2013-01-01
2014,PARAIBA,October,70,2014-01-01
2015,PARAIBA,October,121,2015-01-01
2016,PARAIBA,October,304,2016-01-01
2017,PARAIBA,October,123,2017-01-01
1998,PARAIBA,November,46,1998-01-01
1999,PARAIBA,November,38,1999-01-01
2000,PARAIBA,November,65,2000-01-01
2001,PARAIBA,November,294,2001-01-01
2002,PARAIBA,November,238,2002-01-01
2003,PARAIBA,November,538,2003-01-01
2004,PARAIBA,November,331,2004-01-01
2005,PARAIBA,November,280,2005-01-01
2006,PARAIBA,November,215,2006-01-01
2007,PARAIBA,November,256,2007-01-01
2008,PARAIBA,November,175,2008-01-01
2009,PARAIBA,November,428,2009-01-01
2010,PARAIBA,November,451,2010-01-01
2011,PARAIBA,November,359,2011-01-01
2012,PARAIBA,November,130,2012-01-01
2013,PARAIBA,November,95,2013-01-01
2014,PARAIBA,November,111,2014-01-01
2015,PARAIBA,November,206,2015-01-01
2016,PARAIBA,November,132,2016-01-01
2017,PARAIBA,November,101,2017-01-01
1998,PARAIBA,December,51,1998-01-01
1999,PARAIBA,December,40,1999-01-01
2000,PARAIBA,December,34,2000-01-01
2001,PARAIBA,December,70,2001-01-01
2002,PARAIBA,December,163,2002-01-01
2003,PARAIBA,December,288,2003-01-01
2004,PARAIBA,December,351,2004-01-01
2005,PARAIBA,December,159,2005-01-01
2006,PARAIBA,December,196,2006-01-01
2007,PARAIBA,December,133,2007-01-01
2008,PARAIBA,December,187,2008-01-01
2009,PARAIBA,December,270,2009-01-01
2010,PARAIBA,December,65,2010-01-01
2011,PARAIBA,December,179,2011-01-01
2012,PARAIBA,December,62,2012-01-01
2013,PARAIBA,December,78,2013-01-01
2014,PARAIBA,December,62,2014-01-01
2015,PARAIBA,December,122,2015-01-01
2016,PARAIBA,December,8,2016-01-01
1998,PARAIBA,January,0,1998-01-01
1999,PARAIBA,January,7,1999-01-01
2000,PARAIBA,January,49,2000-01-01
2001,PARAIBA,January,32,2001-01-01
2002,PARAIBA,January,47,2002-01-01
2003,PARAIBA,January,109,2003-01-01
2004,PARAIBA,January,88,2004-01-01
2005,PARAIBA,January,55,2005-01-01
2006,PARAIBA,January,78,2006-01-01
2007,PARAIBA,January,11,2007-01-01
2008,PARAIBA,January,35,2008-01-01
2009,PARAIBA,January,35,2009-01-01
2010,PARAIBA,January,18,2010-01-01
2011,PARAIBA,January,35,2011-01-01
2012,PARAIBA,January,31,2012-01-01
2013,PARAIBA,January,28,2013-01-01
2014,PARAIBA,January,86,2014-01-01
2015,PARAIBA,January,120,2015-01-01
2016,PARAIBA,January,113,2016-01-01
2017,PARAIBA,January,55,2017-01-01
1998,PARAIBA,February,0,1998-01-01
1999,PARAIBA,February,22,1999-01-01
2000,PARAIBA,February,67,2000-01-01
2001,PARAIBA,February,8,2001-01-01
2002,PARAIBA,February,24,2002-01-01
2003,PARAIBA,February,46,2003-01-01
2004,PARAIBA,February,42,2004-01-01
2005,PARAIBA,February,77,2005-01-01
2006,PARAIBA,February,60,2006-01-01
2007,PARAIBA,February,32,2007-01-01
2008,PARAIBA,February,38,2008-01-01
2009,PARAIBA,February,21,2009-01-01
2010,PARAIBA,February,46,2010-01-01
2011,PARAIBA,February,8,2011-01-01
2012,PARAIBA,February,40,2012-01-01
2013,PARAIBA,February,9,2013-01-01
2014,PARAIBA,February,52,2014-01-01
2015,PARAIBA,February,58,2015-01-01
2016,PARAIBA,February,31,2016-01-01
2017,PARAIBA,February,60,2017-01-01
1998,PARAIBA,March,0,1998-01-01
1999,PARAIBA,March,40,1999-01-01
2000,PARAIBA,March,52,2000-01-01
2001,PARAIBA,March,12,2001-01-01
2002,PARAIBA,March,18,2002-01-01
2003,PARAIBA,March,76,2003-01-01
2004,PARAIBA,March,83,2004-01-01
2005,PARAIBA,March,84,2005-01-01
2006,PARAIBA,March,56,2006-01-01
2007,PARAIBA,March,54,2007-01-01
2008,PARAIBA,March,43,2008-01-01
2009,PARAIBA,March,57,2009-01-01
2010,PARAIBA,March,22,2010-01-01
2011,PARAIBA,March,21,2011-01-01
2012,PARAIBA,March,55,2012-01-01
2013,PARAIBA,March,18,2013-01-01
2014,PARAIBA,March,42,2014-01-01
2015,PARAIBA,March,55,2015-01-01
2016,PARAIBA,March,63,2016-01-01
2017,PARAIBA,March,43,2017-01-01
1998,PARAIBA,April,0,1998-01-01
1999,PARAIBA,April,39,1999-01-01
2000,PARAIBA,April,51,2000-01-01
2001,PARAIBA,April,43,2001-01-01
2002,PARAIBA,April,84,2002-01-01
2003,PARAIBA,April,130,2003-01-01
2004,PARAIBA,April,68,2004-01-01
2005,PARAIBA,April,22,2005-01-01
2006,PARAIBA,April,49,2006-01-01
2007,PARAIBA,April,14,2007-01-01
2008,PARAIBA,April,62,2008-01-01
2009,PARAIBA,April,80,2009-01-01
2010,PARAIBA,April,71,2010-01-01
2011,PARAIBA,April,38,2011-01-01
2012,PARAIBA,April,38,2012-01-01
2013,PARAIBA,April,72,2013-01-01
2014,PARAIBA,April,38,2014-01-01
2015,PARAIBA,April,83,2015-01-01
2016,PARAIBA,April,167,2016-01-01
2017,PARAIBA,April,77,2017-01-01
1998,PARAIBA,May,0,1998-01-01
1999,PARAIBA,May,57,1999-01-01
2000,PARAIBA,May,43,2000-01-01
2001,PARAIBA,May,26,2001-01-01
2002,PARAIBA,May,65,2002-01-01
2003,PARAIBA,May,115,2003-01-01
2004,PARAIBA,May,9,2004-01-01
2005,PARAIBA,May,125,2005-01-01
2006,PARAIBA,May,90,2006-01-01
2007,PARAIBA,May,14,2007-01-01
2008,PARAIBA,May,41,2008-01-01
2009,PARAIBA,May,117,2009-01-01
2010,PARAIBA,May,39,2010-01-01
2011,PARAIBA,May,97,2011-01-01
2012,PARAIBA,May,86,2012-01-01
2013,PARAIBA,May,85,2013-01-01
2014,PARAIBA,May,109,2014-01-01
2015,PARAIBA,May,77,2015-01-01
2016,PARAIBA,May,72,2016-01-01
2017,PARAIBA,May,49,2017-01-01
1998,PARAIBA,June,36,1998-01-01
1999,PARAIBA,June,31,1999-01-01
2000,PARAIBA,June,53,2000-01-01
2001,PARAIBA,June,43,2001-01-01
2002,PARAIBA,June,115,2002-01-01
2003,PARAIBA,June,159,2003-01-01
2004,PARAIBA,June,147,2004-01-01
2005,PARAIBA,June,114,2005-01-01
2006,PARAIBA,June,62,2006-01-01
2007,PARAIBA,June,57,2007-01-01
2008,PARAIBA,June,17,2008-01-01
2009,PARAIBA,June,105,2009-01-01
2010,PARAIBA,June,55,2010-01-01
2011,PARAIBA,June,162,2011-01-01
2012,PARAIBA,June,77,2012-01-01
2013,PARAIBA,June,52,2013-01-01
2014,PARAIBA,June,112,2014-01-01
2015,PARAIBA,June,201,2015-01-01
2016,PARAIBA,June,238,2016-01-01
2017,PARAIBA,June,169,2017-01-01
1998,PARAIBA,July,59,1998-01-01
1999,PARAIBA,July,94,1999-01-01
2000,PARAIBA,July,98,2000-01-01
2001,PARAIBA,July,122,2001-01-01
2002,PARAIBA,July,172,2002-01-01
2003,PARAIBA,July,101,2003-01-01
2004,PARAIBA,July,148,2004-01-01
2005,PARAIBA,July,155,2005-01-01
2006,PARAIBA,July,139,2006-01-01
2007,PARAIBA,July,60,2007-01-01
2008,PARAIBA,July,87,2008-01-01
2009,PARAIBA,July,34,2009-01-01
2010,PARAIBA,July,196,2010-01-01
2011,PARAIBA,July,262,2011-01-01
2012,PARAIBA,July,111,2012-01-01
2013,PARAIBA,July,168,2013-01-01
2014,PARAIBA,July,215,2014-01-01
2015,PARAIBA,July,137,2015-01-01
2016,PARAIBA,July,504,2016-01-01
2017,PARAIBA,July,891,2017-01-01
1998,PARAIBA,August,42,1998-01-01
1999,PARAIBA,August,938,1999-01-01
2000,PARAIBA,August,849,2000-01-01
2001,PARAIBA,August,342,2001-01-01
2002,PARAIBA,August,1.593,2002-01-01
2003,PARAIBA,August,1.896,2003-01-01
2004,PARAIBA,August,1.237,2004-01-01
2005,PARAIBA,August,800,2005-01-01
2006,PARAIBA,August,844,2006-01-01
2007,PARAIBA,August,580,2007-01-01
2008,PARAIBA,August,205,2008-01-01
2009,PARAIBA,August,844,2009-01-01
2010,PARAIBA,August,733,2010-01-01
2011,PARAIBA,August,435,2011-01-01
2012,PARAIBA,August,522,2012-01-01
2013,PARAIBA,August,481,2013-01-01
2014,PARAIBA,August,646,2014-01-01
2015,PARAIBA,August,651,2015-01-01
2016,PARAIBA,August,1.01,2016-01-01
2017,PARAIBA,August,987,2017-01-01
1998,PARAIBA,September,61,1998-01-01
1999,PARAIBA,September,878,1999-01-01
2000,PARAIBA,September,381,2000-01-01
2001,PARAIBA,September,258,2001-01-01
2002,PARAIBA,September,1.071,2002-01-01
2003,PARAIBA,September,2.446,2003-01-01
2004,PARAIBA,September,1.36,2004-01-01
2005,PARAIBA,September,386,2005-01-01
2006,PARAIBA,September,866,2006-01-01
2007,PARAIBA,September,960,2007-01-01
2008,PARAIBA,September,413,2008-01-01
2009,PARAIBA,September,149,2009-01-01
2010,PARAIBA,September,270,2010-01-01
2011,PARAIBA,September,913,2011-01-01
2012,PARAIBA,September,459,2012-01-01
