year,state,month,Number of Fires
1999,BAHIA,September,1275
1999,BAHIA,October,1307
1999,BAHIA,November,49
1999,BAHIA,December,37
2000,BAHIA,January,31
2000,BAHIA,February,32
2000,BAHIA,March,65
2000,BAHIA,April,23
2000,BAHIA,May,71
2000,BAHIA,June,178
2000,BAHIA,July,202
2000,BAHIA,August,633
2000,BAHIA,September,2285
2000,BAHIA,October,3350
2000,BAHIA,November,114
2000,BAHIA,December,24
2001,BAHIA,January,24
2001,BAHIA,February,101
2001,BAHIA,March,4
2001,BAHIA,April,26
2001,BAHIA,May,85
2001,BAHIA,June,98
2001,BAHIA,July,248
2001,BAHIA,August,979
2001,BAHIA,September,3964
2001,BAHIA,October,1687
2001,BAHIA,November,699
2001,BAHIA,December,158
2002,BAHIA,January,125
2002,BAHIA,February,204
2002,BAHIA,March,146
2002,BAHIA,April,110
2002,BAHIA,May,166
2002,BAHIA,June,118
2002,BAHIA,July,549
2002,BAHIA,August,1827
2002,BAHIA,September,6439
2002,BAHIA,October,5414
2002,BAHIA,November,1020
2002,BAHIA,December,848
2003,BAHIA,January,439
2003,BAHIA,February,223
2003,BAHIA,March,274
2003,BAHIA,April,376
2003,BAHIA,May,106
2003,BAHIA,June,140
2003,BAHIA,July,261
2003,BAHIA,August,1039
2003,BAHIA,September,8847
2003,BAHIA,October,4264
2003,BAHIA,November,533
2003,BAHIA,December,710
2004,BAHIA,January,158
2004,BAHIA,February,122
2004,BAHIA,March,115
2004,BAHIA,April,89
2004,BAHIA,May,124
2004,BAHIA,June,289
2004,BAHIA,July,310
2004,BAHIA,August,1430
2004,BAHIA,September,6433
2004,BAHIA,October,4810
2004,BAHIA,November,1736
2004,BAHIA,December,423
2005,BAHIA,January,303
2005,BAHIA,February,143
2005,BAHIA,March,158
2005,BAHIA,April,76
2005,BAHIA,May,120
2005,BAHIA,June,211
2005,BAHIA,July,269
2005,BAHIA,August,948
2005,BAHIA,September,4066
2005,BAHIA,October,8405
2005,BAHIA,November,1595
2005,BAHIA,December,116
2006,BAHIA,January,225
2006,BAHIA,February,277
2006,BAHIA,March,199
2006,BAHIA,April,60
2006,BAHIA,May,43
2006,BAHIA,June,68
2006,BAHIA,July,229
2006,BAHIA,August,995
2006,BAHIA,September,3006
2006,BAHIA,October,2079
2006,BAHIA,November,239
2006,BAHIA,December,169
2007,BAHIA,January,373
2007,BAHIA,February,113
2007,BAHIA,March,141
2007,BAHIA,April,64
2007,BAHIA,May,161
2007,BAHIA,June,270
2007,BAHIA,July,811
2007,BAHIA,August,3734
2007,BAHIA,September,7438
2007,BAHIA,October,4981
2007,BAHIA,November,2126
2007,BAHIA,December,259
2008,BAHIA,January,314
2008,BAHIA,February,235
2008,BAHIA,March,135
2008,BAHIA,April,151
2008,BAHIA,May,56
2008,BAHIA,June,72
2008,BAHIA,July,271
2008,BAHIA,August,611
2008,BAHIA,September,4837
2008,BAHIA,October,7691
2008,BAHIA,November,3175
2008,BAHIA,December,52
2009,BAHIA,January,177
2009,BAHIA,February,117
2009,BAHIA,March,249
2009,BAHIA,April,40
2009,BAHIA,May,34
2009,BAHIA,June,92
2009,BAHIA,July,321
2009,BAHIA,August,439
2009,BAHIA,September,3610
2009,BAHIA,October,2552
2009,BAHIA,November,402
2009,BAHIA,December,308
2010,BAHIA,January,297
2010,BAHIA,February,206
2010,BAHIA,March,156
2010,BAHIA,April,103
2010,BAHIA,May,198
2010,BAHIA,June,192
2010,BAHIA,July,519
2010,BAHIA,August,2423
2010,BAHIA,September,5323
2010,BAHIA,October,5264
2010,BAHIA,November,605
2010,BAHIA,December,226
2011,BAHIA,January,101
2011,BAHIA,February,156
2011,BAHIA,March,90
2011,BAHIA,April,149
2011,BAHIA,May,189
2011,BAHIA,June,345
2011,BAHIA,July,578
2011,BAHIA,August,1795
2011,BAHIA,September,7086
2011,BAHIA,October,2166
2011,BAHIA,November,176
2011,BAHIA,December,230
2012,BAHIA,January,179
2012,BAHIA,February,200
2012,BAHIA,March,404
2012,BAHIA,April,396
2012,BAHIA,May,326
2012,BAHIA,June,385
2012,BAHIA,July,906
2012,BAHIA,August,1835
2012,BAHIA,September,7495
2012,BAHIA,October,4607
2012,BAHIA,November,168
2012,BAHIA,December,477
2013,BAHIA,January,125
2013,BAHIA,February,231
2013,BAHIA,March,363
2013,BAHIA,April,108
2013,BAHIA,May,141
2013,BAHIA,June,208
2013,BAHIA,July,362
2013,BAHIA,August,610
2013,BAHIA,September,2681
2013,BAHIA,October,1969
2013,BAHIA,November,288
2013,BAHIA,December,131
2014,BAHIA,January,132
2014,BAHIA,February,107
2014,BAHIA,March,148
2014,BAHIA,April,183
2014,BAHIA,May,224
2014,BAHIA,June,243
2014,BAHIA,July,249
2014,BAHIA,August,674
2014,BAHIA,September,2604
2014,BAHIA,October,2763
2014,BAHIA,November,348
2014,BAHIA,December,144
2015,BAHIA,January,256
2015,BAHIA,February,143
2015,BAHIA,March,229
2015,BAHIA,April,190
2015,BAHIA,May,144
2015,BAHIA,June,242
2015,BAHIA,July,306
2015,BAHIA,August,829
2015,BAHIA,September,7956
2015,BAHIA,October,4989
2015,BAHIA,November,1705
2015,BAHIA,December,1408
2016,BAHIA,January,285
2016,BAHIA,February,418
2016,BAHIA,March,281
2016,BAHIA,April,217
2016,BAHIA,May,259
2016,BAHIA,June,416
2016,BAHIA,July,345
2016,BAHIA,August,724
2016,BAHIA,September,1819
2016,BAHIA,October,1415
2016,BAHIA,November,408
2016,BAHIA,December,164
2017,BAHIA,January,154
2017,BAHIA,February,100
2017,BAHIA,March,163
2017,BAHIA,April,94
2017,BAHIA,May,121
2017,BAHIA,June,329
2017,BAHIA,July,300
2017,BAHIA,August,1018
2017,BAHIA,September,1791
2017,BAHIA,October,4005
2017,BAHIA,November,174
1998,CEARÁ,January,0
1998,CEARÁ,February,0
1998,CEARÁ,March,0
1998,CEARÁ,April,0
1998,CEARÁ,May,0
1998,CEARÁ,June,1
1998,CEARÁ,July,76
1998,CEARÁ,August,93
1998,CEARÁ,September,590
1998,CEARÁ,October,1014
1998,CEARÁ,November,575
1998,CEARÁ,December,276
1999,CEARÁ,January,47
1999,CEARÁ,February,16
1999,CEARÁ,March,30
1999,CEARÁ,April,6
1999,CEARÁ,May,5
1999,CEARÁ,June,16
1999,CEARÁ,July,83
1999,CEARÁ,August,131
1999,CEARÁ,September,124
1999,CEARÁ,October,309
1999,CEARÁ,November,524
1999,CEARÁ,December,397
2000,CEARÁ,January,1
2000,CEARÁ,February,6
2000,CEARÁ,March,9
2000,CEARÁ,April,15
2000,CEARÁ,May,7
2000,CEARÁ,June,16
2000,CEARÁ,July,18
2000,CEARÁ,August,79
2000,CEARÁ,September,127
2000,CEARÁ,October,875
2000,CEARÁ,November,669
2000,CEARÁ,December,389
2001,CEARÁ,January,11
2001,CEARÁ,February,0
2001,CEARÁ,March,0
2001,CEARÁ,April,2
2001,CEARÁ,May,81
2001,CEARÁ,June,38
2001,CEARÁ,July,146
2001,CEARÁ,August,219
2001,CEARÁ,September,801
2001,CEARÁ,October,2045
2001,CEARÁ,November,2456
2001,CEARÁ,December,545
2002,CEARÁ,January,33
2002,CEARÁ,February,75
2002,CEARÁ,March,17
2002,CEARÁ,April,5
2002,CEARÁ,May,10
2002,CEARÁ,June,13
2002,CEARÁ,July,12
2002,CEARÁ,August,111
2002,CEARÁ,September,172
2002,CEARÁ,October,1606
2002,CEARÁ,November,2715
2002,CEARÁ,December,1787
2003,CEARÁ,January,264
2003,CEARÁ,February,9
2003,CEARÁ,March,3
2003,CEARÁ,April,3
2003,CEARÁ,May,0
2003,CEARÁ,June,2
2003,CEARÁ,July,14
2003,CEARÁ,August,109
2003,CEARÁ,September,384
2003,CEARÁ,October,1761
2003,CEARÁ,November,3327
2003,CEARÁ,December,2436
2004,CEARÁ,January,143
2004,CEARÁ,February,5
2004,CEARÁ,March,1
2004,CEARÁ,April,2
2004,CEARÁ,May,3
2004,CEARÁ,June,1
2004,CEARÁ,July,16
2004,CEARÁ,August,61
2004,CEARÁ,September,144
2004,CEARÁ,October,1217
2004,CEARÁ,November,2900
2004,CEARÁ,December,3158
2005,CEARÁ,January,384
2005,CEARÁ,February,25
2005,CEARÁ,March,5
2005,CEARÁ,April,4
2005,CEARÁ,May,1
2005,CEARÁ,June,6
2005,CEARÁ,July,14
2005,CEARÁ,August,51
2005,CEARÁ,September,185
2005,CEARÁ,October,1378
2005,CEARÁ,November,2483
2005,CEARÁ,December,1360
2006,CEARÁ,January,211
2006,CEARÁ,February,23
2006,CEARÁ,March,3
2006,CEARÁ,April,1
2006,CEARÁ,May,0
2006,CEARÁ,June,0
2006,CEARÁ,July,1
2006,CEARÁ,August,50
2006,CEARÁ,September,237
2006,CEARÁ,October,581
2006,CEARÁ,November,1012
2006,CEARÁ,December,1161
2007,CEARÁ,January,304
2007,CEARÁ,February,3
2007,CEARÁ,March,2
2007,CEARÁ,April,1
2007,CEARÁ,May,0
2007,CEARÁ,June,1
2007,CEARÁ,July,11
2007,CEARÁ,August,182
2007,CEARÁ,September,241
2007,CEARÁ,October,964
2007,CEARÁ,November,1443
2007,CEARÁ,December,1177
2008,CEARÁ,January,166
2008,CEARÁ,February,12
2008,CEARÁ,March,2
2008,CEARÁ,April,0
2008,CEARÁ,May,0
2008,CEARÁ,June,1
2008,CEARÁ,July,3
2008,CEARÁ,August,32
2008,CEARÁ,September,177
2008,CEARÁ,October,816
2008,CEARÁ,November,1753
2008,CEARÁ,December,1655
2009,CEARÁ,January,347
2009,CEARÁ,February,8
2009,CEARÁ,March,3
2009,CEARÁ,April,0
2009,CEARÁ,May,0
2009,CEARÁ,June,0
2009,CEARÁ,July,7
2009,CEARÁ,August,26
2009,CEARÁ,September,101
2009,CEARÁ,October,435
2009,CEARÁ,November,1653
2009,CEARÁ,December,1987
2010,CEARÁ,January,288
2010,CEARÁ,February,63
2010,CEARÁ,March,40
2010,CEARÁ,April,7
2010,CEARÁ,May,2
2010,CEARÁ,June,3
2010,CEARÁ,July,44
2010,CEARÁ,August,202
2010,CEARÁ,September,357
2010,CEARÁ,October,502
2010,CEARÁ,November,1652
2010,CEARÁ,December,578
2011,CEARÁ,January,32
2011,CEARÁ,February,2
2011,CEARÁ,March,6
2011,CEARÁ,April,1
2011,CEARÁ,May,0
2011,CEARÁ,June,5
2011,CEARÁ,July,18
2011,CEARÁ,August,53
2011,CEARÁ,September,239
2011,CEARÁ,October,415
2011,CEARÁ,November,1561
2011,CEARÁ,December,1441
2012,CEARÁ,January,273
2012,CEARÁ,February,41
2012,CEARÁ,March,10
2012,CEARÁ,April,2
2012,CEARÁ,May,19
2012,CEARÁ,June,28
2012,CEARÁ,July,50
2012,CEARÁ,August,278
2012,CEARÁ,September,609
2012,CEARÁ,October,1104
2012,CEARÁ,November,995
2012,CEARÁ,December,631
2013,CEARÁ,January,103
2013,CEARÁ,February,49
2013,CEARÁ,March,17
2013,CEARÁ,April,4
2013,CEARÁ,May,4
2013,CEARÁ,June,5
2013,CEARÁ,July,4
2013,CEARÁ,August,32
2013,CEARÁ,September,177
2013,CEARÁ,October,466
2013,CEARÁ,November,1081
2013,CEARÁ,December,956
2014,CEARÁ,January,115
2014,CEARÁ,February,18
2014,CEARÁ,March,6
2014,CEARÁ,April,4
2014,CEARÁ,May,4
2014,CEARÁ,June,19
2014,CEARÁ,July,47
2014,CEARÁ,August,155
2014,CEARÁ,September,155
2014,CEARÁ,October,517
2014,CEARÁ,November,829
2014,CEARÁ,December,643
2015,CEARÁ,January,207
2015,CEARÁ,February,25
2015,CEARÁ,March,20
2015,CEARÁ,April,3
2015,CEARÁ,May,17
2015,CEARÁ,June,22
2015,CEARÁ,July,25
2015,CEARÁ,August,127
2015,CEARÁ,September,214
2015,CEARÁ,October,658
2015,CEARÁ,November,1081
2015,CEARÁ,December,1021
2016,CEARÁ,January,100
2016,CEARÁ,February,13
2016,CEARÁ,March,4
2016,CEARÁ,April,10
2016,CEARÁ,May,8
2016,CEARÁ,June,45
2016,CEARÁ,July,124
2016,CEARÁ,August,293
2016,CEARÁ,September,370
2016,CEARÁ,October,1310
2016,CEARÁ,November,1328
2016,CEARÁ,December,819
2017,CEARÁ,January,91
2017,CEARÁ,February,9
2017,CEARÁ,March,4
2017,CEARÁ,April,6
2017,CEARÁ,May,9
2017,CEARÁ,June,23
2017,CEARÁ,July,26
2017,CEARÁ,August,121
2017,CEARÁ,September,505
2017,CEARÁ,October,949
2017,CEARÁ,November,812
1998,DISTRITO FEDERAL,January,0
1998,DISTRITO FEDERAL,February,0
1998,DISTRITO FEDERAL,March,0
1998,DISTRITO FEDERAL,April,0
1998,DISTRITO FEDERAL,May,0
1998,DISTRITO FEDERAL,June,2
1998,DISTRITO FEDERAL,July,17
1998,DISTRITO FEDERAL,August,48
1998,DISTRITO FEDERAL,September,33
1998,DISTRITO FEDERAL,October,3
1998,DISTRITO FEDERAL,November,0
1998,DISTRITO FEDERAL,December,0
1999,DISTRITO FEDERAL,January,0
1999,DISTRITO FEDERAL,February,2
1999,DISTRITO FEDERAL,March,0
1999,DISTRITO FEDERAL,April,0
1999,DISTRITO FEDERAL,May,0
1999,DISTRITO FEDERAL,June,3
1999,DISTRITO FEDERAL,July,4
1999,DISTRITO FEDERAL,August,16
1999,DISTRITO FEDERAL,September,12
1999,DISTRITO FEDERAL,October,8
1999,DISTRITO FEDERAL,November,1
1999,DISTRITO FEDERAL,December,0
2000,DISTRITO FEDERAL,January,0
2000,DISTRITO FEDERAL,February,0
2000,DISTRITO FEDERAL,March,0
2000,DISTRITO FEDERAL,April,0
2000,DISTRITO FEDERAL,May,2
2000,DISTRITO FEDERAL,June,1
2000,DISTRITO FEDERAL,July,15
2000,DISTRITO FEDERAL,August,9
2000,DISTRITO FEDERAL,September,3
2000,DISTRITO FEDERAL,October,18
2000,DISTRITO FEDERAL,November,0
2000,DISTRITO FEDERAL,December,0
2001,DISTRITO FEDERAL,January,0
2001,DISTRITO FEDERAL,February,1
2001,DISTRITO FEDERAL,March,0
2001,DISTRITO FEDERAL,April,0
2001,DISTRITO FEDERAL,May,0
2001,DISTRITO FEDERAL,June,3
2001,DISTRITO FEDERAL,July,22
2001,DISTRITO FEDERAL,August,25
2001,DISTRITO FEDERAL,September,12
2001,DISTRITO FEDERAL,October,0
2001,DISTRITO FEDERAL,November,0
2001,DISTRITO FEDERAL,December,1
2002,DISTRITO FEDERAL,January,0
2002,DISTRITO FEDERAL,February,0
2002,DISTRITO FEDERAL,March,0
2002,DISTRITO FEDERAL,April,1
2002,DISTRITO FEDERAL,May,1
2002,DISTRITO FEDERAL,June,7
2002,DISTRITO FEDERAL,July,33
2002,DISTRITO FEDERAL,August,53
2002,DISTRITO FEDERAL,September,33
2002,DISTRITO FEDERAL,October,19
2002,DISTRITO FEDERAL,November,1
2002,DISTRITO FEDERAL,December,1
2003,DISTRITO FEDERAL,January,0
2003,DISTRITO FEDERAL,February,1
2003,DISTRITO FEDERAL,March,0
2003,DISTRITO FEDERAL,April,0
2003,DISTRITO FEDERAL,May,0
2003,DISTRITO FEDERAL,June,11
2003,DISTRITO FEDERAL,July,19
2003,DISTRITO FEDERAL,August,36
2003,DISTRITO FEDERAL,September,17
2003,DISTRITO FEDERAL,October,12
2003,DISTRITO FEDERAL,November,0
2003,DISTRITO FEDERAL,December,0
2004,DISTRITO FEDERAL,January,0
2004,DISTRITO FEDERAL,February,0
2004,DISTRITO FEDERAL,March,0
2004,DISTRITO FEDERAL,April,1
2004,DISTRITO FEDERAL,May,9
2004,DISTRITO FEDERAL,June,6
2004,DISTRITO FEDERAL,July,37
2004,DISTRITO FEDERAL,August,108
2004,DISTRITO FEDERAL,September,100
2004,DISTRITO FEDERAL,October,18
2004,DISTRITO FEDERAL,November,0
2004,DISTRITO FEDERAL,December,0
2005,DISTRITO FEDERAL,January,0
2005,DISTRITO FEDERAL,February,0
2005,DISTRITO FEDERAL,March,0
2005,DISTRITO FEDERAL,April,0
2005,DISTRITO FEDERAL,May,2
2005,DISTRITO FEDERAL,June,3
2005,DISTRITO FEDERAL,July,24
2005,DISTRITO FEDERAL,August,20
2005,DISTRITO FEDERAL,September,23
2005,DISTRITO FEDERAL,October,18
2005,DISTRITO FEDERAL,November,2
2005,DISTRITO FEDERAL,December,0
2006,DISTRITO FEDERAL,January,0
2006,DISTRITO FEDERAL,February,0
2006,DISTRITO FEDERAL,March,0
2006,DISTRITO FEDERAL,April,0
2006,DISTRITO FEDERAL,May,3
2006,DISTRITO FEDERAL,June,2
2006,DISTRITO FEDERAL,July,10
2006,DISTRITO FEDERAL,August,40
2006,DISTRITO FEDERAL,September,20
2006,DISTRITO FEDERAL,October,1
2006,DISTRITO FEDERAL,November,0
2006,DISTRITO FEDERAL,December,0
2007,DISTRITO FEDERAL,January,0
2007,DISTRITO FEDERAL,February,0
2007,DISTRITO FEDERAL,March,1
2007,DISTRITO FEDERAL,April,0
2007,DISTRITO FEDERAL,May,4
2007,DISTRITO FEDERAL,June,21
2007,DISTRITO FEDERAL,July,25
2007,DISTRITO FEDERAL,August,137
2007,DISTRITO FEDERAL,September,73
2007,DISTRITO FEDERAL,October,13
2007,DISTRITO FEDERAL,November,0
2007,DISTRITO FEDERAL,December,0
2008,DISTRITO FEDERAL,January,0
2008,DISTRITO FEDERAL,February,0
2008,DISTRITO FEDERAL,March,2
2008,DISTRITO FEDERAL,April,1
2008,DISTRITO FEDERAL,May,6
2008,DISTRITO FEDERAL,June,0
2008,DISTRITO FEDERAL,July,12
2008,DISTRITO FEDERAL,August,30
2008,DISTRITO FEDERAL,September,54
2008,DISTRITO FEDERAL,October,6
2008,DISTRITO FEDERAL,November,4
2008,DISTRITO FEDERAL,December,0
2009,DISTRITO FEDERAL,January,1
2009,DISTRITO FEDERAL,February,0
2009,DISTRITO FEDERAL,March,0
2009,DISTRITO FEDERAL,April,0
2009,DISTRITO FEDERAL,May,9
2009,DISTRITO FEDERAL,June,4
2009,DISTRITO FEDERAL,July,33
2009,DISTRITO FEDERAL,August,37
2009,DISTRITO FEDERAL,September,5
2009,DISTRITO FEDERAL,October,3
2009,DISTRITO FEDERAL,November,0
2009,DISTRITO FEDERAL,December,0
2010,DISTRITO FEDERAL,January,2
2010,DISTRITO FEDERAL,February,4
2010,DISTRITO FEDERAL,March,0
2010,DISTRITO FEDERAL,April,8
2010,DISTRITO FEDERAL,May,23
2010,DISTRITO FEDERAL,June,21
2010,DISTRITO FEDERAL,July,85
2010,DISTRITO FEDERAL,August,159
2010,DISTRITO FEDERAL,September,196
2010,DISTRITO FEDERAL,October,6
2010,DISTRITO FEDERAL,November,0
2010,DISTRITO FEDERAL,December,1
2011,DISTRITO FEDERAL,January,2
2011,DISTRITO FEDERAL,February,1
2011,DISTRITO FEDERAL,March,0
2011,DISTRITO FEDERAL,April,1
2011,DISTRITO FEDERAL,May,3
2011,DISTRITO FEDERAL,June,18
2011,DISTRITO FEDERAL,July,53
2011,DISTRITO FEDERAL,August,61
2011,DISTRITO FEDERAL,September,133
2011,DISTRITO FEDERAL,October,0
2011,DISTRITO FEDERAL,November,1
2011,DISTRITO FEDERAL,December,0
2012,DISTRITO FEDERAL,January,0
2012,DISTRITO FEDERAL,February,0
2012,DISTRITO FEDERAL,March,0
2012,DISTRITO FEDERAL,April,4
2012,DISTRITO FEDERAL,May,0
2012,DISTRITO FEDERAL,June,6
2012,DISTRITO FEDERAL,July,29
2012,DISTRITO FEDERAL,August,55
2012,DISTRITO FEDERAL,September,64
2012,DISTRITO FEDERAL,October,15
2012,DISTRITO FEDERAL,November,0
2012,DISTRITO FEDERAL,December,0
2013,DISTRITO FEDERAL,January,0
2013,DISTRITO FEDERAL,February,1
2013,DISTRITO FEDERAL,March,1
2013,DISTRITO FEDERAL,April,1
2013,DISTRITO FEDERAL,May,2
2013,DISTRITO FEDERAL,June,4
2013,DISTRITO FEDERAL,July,22
2013,DISTRITO FEDERAL,August,34
2013,DISTRITO FEDERAL,September,31
2013,DISTRITO FEDERAL,October,3
2013,DISTRITO FEDERAL,November,0
2013,DISTRITO FEDERAL,December,2
2014,DISTRITO FEDERAL,January,0
2014,DISTRITO FEDERAL,February,1
2014,DISTRITO FEDERAL,March,1
2014,DISTRITO FEDERAL,April,2
2014,DISTRITO FEDERAL,May,9
2014,DISTRITO FEDERAL,June,6
2014,DISTRITO FEDERAL,July,27
2014,DISTRITO FEDERAL,August,99
2014,DISTRITO FEDERAL,September,72
2014,DISTRITO FEDERAL,October,34
2014,DISTRITO FEDERAL,November,0
2014,DISTRITO FEDERAL,December,0
2015,DISTRITO FEDERAL,January,1
2015,DISTRITO FEDERAL,February,0
2015,DISTRITO FEDERAL,March,0
2015,DISTRITO FEDERAL,April,0
2015,DISTRITO FEDERAL,May,2
2015,DISTRITO FEDERAL,June,1
2015,DISTRITO FEDERAL,July,15
2015,DISTRITO FEDERAL,August,53
2015,DISTRITO FEDERAL,September,76
2015,DISTRITO FEDERAL,October,21
2015,DISTRITO FEDERAL,November,3
2015,DISTRITO FEDERAL,December,0
2016,DISTRITO FEDERAL,January,1
2016,DISTRITO FEDERAL,February,2
2016,DISTRITO FEDERAL,March,1
2016,DISTRITO FEDERAL,April,5
2016,DISTRITO FEDERAL,May,15
2016,DISTRITO FEDERAL,June,42
2016,DISTRITO FEDERAL,July,79
2016,DISTRITO FEDERAL,August,29
2016,DISTRITO FEDERAL,September,58
2016,DISTRITO FEDERAL,October,9
2016,DISTRITO FEDERAL,November,1
2016,DISTRITO FEDERAL,December,0
2017,DISTRITO FEDERAL,January,1
2017,DISTRITO FEDERAL,February,0
2017,DISTRITO FEDERAL,March,0
2017,DISTRITO FEDERAL,April,1
2017,DISTRITO FEDERAL,May,6
2017,DISTRITO FEDERAL,June,23
2017,DISTRITO FEDERAL,July,44
2017,DISTRITO FEDERAL,August,147
2017,DISTRITO FEDERAL,September,122
2017,DISTRITO FEDERAL,October,66
2017,DISTRITO FEDERAL,November,0
1998,ESPÍRITO SANTO,January,0
1998,ESPÍRITO SANTO,February,0
1998,ESPÍRITO SANTO,March,0
1998,ESPÍRITO SANTO,April,0
1998,ESPÍRITO SANTO,May,0
1998,ESPÍRITO SANTO,June,6
1998,ESPÍRITO SANTO,July,37
1998,ESPÍRITO SANTO,August,38
1998,ESPÍRITO SANTO,September,108
1998,ESPÍRITO SANTO,October,20
1998,ESPÍRITO SANTO,November,4
1998,ESPÍRITO SANTO,December,5
1999,ESPÍRITO SANTO,January,33
1999,ESPÍRITO SANTO,February,10
1999,ESPÍRITO SANTO,March,8
1999,ESPÍRITO SANTO,April,2
1999,ESPÍRITO SANTO,May,16
1999,ESPÍRITO SANTO,June,6
1999,ESPÍRITO SANTO,July,9
1999,ESPÍRITO SANTO,August,60
1999,ESPÍRITO SANTO,September,64
1999,ESPÍRITO SANTO,October,23
1999,ESPÍRITO SANTO,November,9
1999,ESPÍRITO SANTO,December,0
2000,ESPÍRITO SANTO,January,5
2000,ESPÍRITO SANTO,February,5
2000,ESPÍRITO SANTO,March,1
2000,ESPÍRITO SANTO,April,3
2000,ESPÍRITO SANTO,May,2
2000,ESPÍRITO SANTO,June,9
2000,ESPÍRITO SANTO,July,16
2000,ESPÍRITO SANTO,August,26
2000,ESPÍRITO SANTO,September,14
2000,ESPÍRITO SANTO,October,88
2000,ESPÍRITO SANTO,November,3
2000,ESPÍRITO SANTO,December,3
2001,ESPÍRITO SANTO,January,1
2001,ESPÍRITO SANTO,February,5
2001,ESPÍRITO SANTO,March,2
2001,ESPÍRITO SANTO,April,2
2001,ESPÍRITO SANTO,May,8
2001,ESPÍRITO SANTO,June,9
2001,ESPÍRITO SANTO,July,12
2001,ESPÍRITO SANTO,August,30
2001,ESPÍRITO SANTO,September,38
2001,ESPÍRITO SANTO,October,19
2001,ESPÍRITO SANTO,November,3
2001,ESPÍRITO SANTO,December,1
2002,ESPÍRITO SANTO,January,2
2002,ESPÍRITO SANTO,February,4
2002,ESPÍRITO SANTO,March,4
2002,ESPÍRITO SANTO,April,2
2002,ESPÍRITO SANTO,May,5
2002,ESPÍRITO SANTO,June,18
2002,ESPÍRITO SANTO,July,9
2002,ESPÍRITO SANTO,August,60
2002,ESPÍRITO SANTO,September,46
2002,ESPÍRITO SANTO,October,113
2002,ESPÍRITO SANTO,November,22
2002,ESPÍRITO SANTO,December,12
2003,ESPÍRITO SANTO,January,4
2003,ESPÍRITO SANTO,February,11
2003,ESPÍRITO SANTO,March,28
2003,ESPÍRITO SANTO,April,22
2003,ESPÍRITO SANTO,May,1
2003,ESPÍRITO SANTO,June,19
2003,ESPÍRITO SANTO,July,27
2003,ESPÍRITO SANTO,August,118
2003,ESPÍRITO SANTO,September,252
2003,ESPÍRITO SANTO,October,159
2003,ESPÍRITO SANTO,November,49
2003,ESPÍRITO SANTO,December,18
2004,ESPÍRITO SANTO,January,1
2004,ESPÍRITO SANTO,February,5
2004,ESPÍRITO SANTO,March,3
2004,ESPÍRITO SANTO,April,0
2004,ESPÍRITO SANTO,May,0
2004,ESPÍRITO SANTO,June,3
2004,ESPÍRITO SANTO,July,4
2004,ESPÍRITO SANTO,August,12
2004,ESPÍRITO SANTO,September,47
2004,ESPÍRITO SANTO,October,48
2004,ESPÍRITO SANTO,November,42
2004,ESPÍRITO SANTO,December,9
2005,ESPÍRITO SANTO,January,4
2005,ESPÍRITO SANTO,February,1
2005,ESPÍRITO SANTO,March,3
2005,ESPÍRITO SANTO,April,4
2005,ESPÍRITO SANTO,May,5
2005,ESPÍRITO SANTO,June,8
2005,ESPÍRITO SANTO,July,9
2005,ESPÍRITO SANTO,August,12
2005,ESPÍRITO SANTO,September,8
2005,ESPÍRITO SANTO,October,62
2005,ESPÍRITO SANTO,November,0
2005,ESPÍRITO SANTO,December,5
2006,ESPÍRITO SANTO,January,13
2006,ESPÍRITO SANTO,February,45
2006,ESPÍRITO SANTO,March,14
2006,ESPÍRITO SANTO,April,1
2006,ESPÍRITO SANTO,May,0
2006,ESPÍRITO SANTO,June,5
2006,ESPÍRITO SANTO,July,11
2006,ESPÍRITO SANTO,August,29
2006,ESPÍRITO SANTO,September,87
2006,ESPÍRITO SANTO,October,10
2006,ESPÍRITO SANTO,November,0
2006,ESPÍRITO SANTO,December,0
2007,ESPÍRITO SANTO,January,0
2007,ESPÍRITO SANTO,February,3
2007,ESPÍRITO SANTO,March,9
2007,ESPÍRITO SANTO,April,2
2007,ESPÍRITO SANTO,May,1
2007,ESPÍRITO SANTO,June,4
2007,ESPÍRITO SANTO,July,13
2007,ESPÍRITO SANTO,August,82
2007,ESPÍRITO SANTO,September,63
2007,ESPÍRITO SANTO,October,79
2007,ESPÍRITO SANTO,November,112
2007,ESPÍRITO SANTO,December,14
2008,ESPÍRITO SANTO,January,12
2008,ESPÍRITO SANTO,February,20
2008,ESPÍRITO SANTO,March,5
2008,ESPÍRITO SANTO,April,8
2008,ESPÍRITO SANTO,May,2
2008,ESPÍRITO SANTO,June,4
2008,ESPÍRITO SANTO,July,5
2008,ESPÍRITO SANTO,August,13
2008,ESPÍRITO SANTO,September,78
2008,ESPÍRITO SANTO,October,100
2008,ESPÍRITO SANTO,November,3
2008,ESPÍRITO SANTO,December,1
2009,ESPÍRITO SANTO,January,4
2009,ESPÍRITO SANTO,February,12
2009,ESPÍRITO SANTO,March,11
2009,ESPÍRITO SANTO,April,8
2009,ESPÍRITO SANTO,May,7
2009,ESPÍRITO SANTO,June,12
2009,ESPÍRITO SANTO,July,25
2009,ESPÍRITO SANTO,August,17
2009,ESPÍRITO SANTO,September,57
2009,ESPÍRITO SANTO,October,13
2009,ESPÍRITO SANTO,November,18
2009,ESPÍRITO SANTO,December,32
2010,ESPÍRITO SANTO,January,52
2010,ESPÍRITO SANTO,February,15
